PSP;NL
Globally, it is always the case that if rain holds, then send_oil_change_alert and send_washer_fluid_level_alert eventually holds.;IF is raining THEN send oil change alert AND send washer fluid level alert.
After auto_dimming, it is always the case that if brake_fluid_level > 80 holds, then defrosting holds as well.;IF activate auto dimming AND brake fluid level is GREATER THAN 80 % THEN defrosting.
Globally, it is always the case that if vertical_vision_distance <= 39 holds, then send_sleeping_alert holds as well.;IF vertical vision distance behind driver is EQUAL or LESS THAN 39 m THEN send sleeping alert.
Globally, it is always the case that display_area = 71 holds.;display area is EQUAL to 71 m.
Globally, it is always the case that if engine_rpm = 5100 holds, then headlight_intensity <= 40 and engine_efficiency < 7 eventually holds.;IF engine RPM is EQUAL to 5100 rpm THEN headlight intensity MUST be EQUAL or LESS THAN 40 % AND engine efficiency CAN be LESS THAN 7 %.
Globally, it is never the case that auto_accelerate_sensitivity <= 82 holds.;auto accelerate sensitivity MUST NOT be EQUAL or LESS THAN 82 %.
Globally, it is never the case that perceived_light_sources_number > 3 holds.;number of perceived light sources MUST NOT be GREATER THAN 3.
After auto_break_sensitivity > 43, it is always the case that if radio_volume <= 6 holds, then send_speeding_alert holds as well.;IF auto break sensitivity is GREATER THAN 43 % AND radio volume is EQUAL or LESS THAN 6 dB THEN send speeding alert.
After warning_emergency, it is always the case that if standard_driver holds, then required_maintenance eventually holds.;IF send warning emergency vehicle AND standard driver THEN the vehicle requires maintenance.
Globally, it is always the case that if diffuse_light and braking holds, then minimum_distance = 11 and send_sleeping_alert holds as well.;IF diffuse light AND the vehicle is braking THEN minimum distance from vehicle in front EQUAL to 11 m AND send sleeping alert.
Globally, it is always the case that if park_assist and NN_clean_processing holds, then blind_spot eventually holds.;IF park assist is activated AND enable digital clean image processing algorithm THEN object on blind spot.
Globally, it is always the case that auto_break_sensitivity > 64 holds.;auto break sensitivity is GREATER THAN 64 %.
After object_detection, it is always the case that if turning holds, then auto_accelerate_sensitivity < 40 eventually holds.;IF object is detected AND vehicle is turning THEN auto accelerate sensitivity CAN be LESS THAN 40 %.
Globally, it is always the case that if cruise_control holds, then perceived_light_sources_number = 2 holds as well.;IF cruise control is activated THEN number of perceived light sources EQUAL to 2.
Globally, it is always the case that if camera_defrost_system and brake_fluid_level = 9 holds, then parking_camera eventually holds.;IF camera defrost system AND brake fluid level is EQUAL to 9 % THEN parking camera is activated.
After luminance < 4.0, it is always the case that horn and horn holds.;IF luminance is LESS THAN 4.0 lx THEN activate horn AND activate horn.
After low_gps_signal and gear <= 2, it is always the case that perceived_light_sources_number <= 1 and AVG_MF < 0.4 holds.;IF GPS signal is low AND gear number is EQUAL or LESS THAN 2 gear THEN number of perceived light sources MUST be EQUAL or LESS THAN 1 AND average magnification factor CAN be LESS THAN 0.4.
After antifog_lights, it is always the case that if soiling_camera holds, then send_coolant_level_alert holds as well.;IF activate antifog lights AND soiling on the cameras THEN send coolant level alert.
After direct_sunlight_state and min_speed_limit = 36, it is always the case that zoom_level >= 2 holds.;IF state of direct sunlight AND minimum speed limit is EQUAL to 36 km/h THEN camera zoom level MUST be EQUAL or GREATER THAN 2 x.
Globally, it is never the case that monitor_luminance_ratio > 171 holds.;monitor luminance ratio MUST NOT be GREATER THAN 171.
After climate_control_setting = 27, it is always the case that if getting_overtaken holds, then stay_in_lane eventually holds.;IF climate control setting is EQUAL to 27 C AND the vehicle is getting overtaken THEN activate stay in lane algorithm.
After tire_pressure > 36, it is always the case that if driver_seatbelt holds, then send_engine_conditions_alert holds as well.;IF tire pressure is GREATER THAN 36 psi AND the driver is wearing the seatbelt THEN send engine conditions alert.
Globally, it is always the case that if passenger_side and speeding_alert holds, then need_revision and minimum_distance = 8 eventually holds.;IF the passenger side is occupied AND speeding alert is on THEN vehicle revision is needed AND minimum distance from vehicle in front EQUAL to 8 m.
After lock_steering, it is always the case that if NN_clean_processing holds, then door_locking eventually holds.;IF lock steering AND enable digital clean image processing algorithm THEN lock the doors.
After tire_rotation = -11, it is always the case that if road_curvature >= 68 holds, then HDR holds as well.;IF tire rotation is EQUAL to -11 degrees AND road curvature is EQUAL or GREATER THAN 68 degrees THEN enable HDR.
Globally, it is always the case that if older_driver holds, then zoom_in holds as well.;IF older driver THEN zoom in the camera.
After engine_conditions_alert, it is always the case that emergency_brake holds.;IF engine conditions alert is on THEN activate emergency brake.
Globally, it is always the case that length_driven <= 98005 holds.;total length driven by the vehicle is EQUAL or LESS THAN 98005 km.
Globally, it is always the case that inter_light_sources_distance >= wiper_speed holds.;distance between light sources is EQUAL or GREATER THAN wiper speed.
Globally, it is always the case that if distance_center_lane = 2 holds, then MIN_MF <= 0.9 and send_airbag_conditions_alert eventually holds.;IF distance from center lane is EQUAL to 2 m THEN minimum magnification factor MUST be EQUAL or LESS THAN 0.9 AND send airbag conditions alert.
Globally, it is always the case that if need_revision and cruise_control_speed < 102 holds, then send_collision_alert and send_alert holds as well.;IF vehicle revision is needed AND cruise control speed is LESS THAN 102 km/h THEN send collision alert AND send generic alert.
After horizontal_vision = 2, it is always the case that if coolant_level <= 41 holds, then eco_mode eventually holds.;IF horizontal vision is EQUAL to 2 m AND coolant level is EQUAL or LESS THAN 41 C THEN activate eco mode.
Globally, it is always the case that inter_light_sources_distance < 1.0 holds.;distance between light sources is LESS THAN 1.0 m.
After approaching_vehicle_distance > 35 and perceived_light_sources_number >= 1, it is always the case that antifog_lights holds.;IF distance of approaching vehicle is GREATER THAN 35 m AND number of perceived light sources is EQUAL or GREATER THAN 1 THEN activate antifog lights.
Globally, it is never the case that light_sources_distance >= 333 holds.;distance of light sources MUST NOT be EQUAL or GREATER THAN 333 m.
After collision_alert and class < 1, it is always the case that airbag_deploy and required_maintenance holds.;IF collision alert is on AND class is LESS THAN 1 THEN activate airbag deployment AND the vehicle requires maintenance.
After auto_dimming, it is always the case that if auto_break holds, then stay_in_lane holds as well.;IF activate auto dimming AND auto break is activated THEN activate stay in lane algorithm.
After traffic_flow_speed < 15, it is always the case that if oil_level <= 34 holds, then monitor_background_luminance < 1.8 holds as well.;IF traffic flow speed is LESS THAN 15 km/h AND oil level is EQUAL or LESS THAN 34 % THEN monitor background luminance CAN be LESS THAN 1.8 cd/m2.
Globally, it is always the case that gps_signal > 9 holds.;GPS signal strength is GREATER THAN 9 dBm.
Globally, it is always the case that if battery_charge_alert holds, then air_conditioning eventually holds.;IF battery charge alert is on THEN activate air conditioning.
After coolant_level_alert and traffic_flow_speed >= 18, it is always the case that send_speeding_alert holds.;IF coolant level alert is on AND traffic flow speed is EQUAL or GREATER THAN 18 km/h THEN send speeding alert.
Globally, it is always the case that if low_gps_signal and passenger_seatbelt holds, then vertical_vision_distance > 54 and send_alert holds as well.;IF GPS signal is low AND the passenger is wearing the seatbelt THEN vertical vision distance behind driver CAN be GREATER THAN 54 m AND send generic alert.
After min_speed_limit >= 107, it is always the case that object_detection and warning_emergency holds.;IF minimum speed limit is EQUAL or GREATER THAN 107 km/h THEN object is detected AND send warning emergency vehicle.
Globally, it is always the case that road_slope <= 20 holds.;road slope is EQUAL or LESS THAN 20 degrees.
After eco_mode, it is always the case that if vertical_vision_distance < 58 holds, then zoom_out holds as well.;IF activate eco mode AND vertical vision distance behind driver is LESS THAN 58 m THEN zoom out the camera.
After send_engine_conditions_alert, it is always the case that if approaching_vehicle_distance > 32 holds, then max_acceleration >= 1 eventually holds.;IF send engine conditions alert AND distance of approaching vehicle is GREATER THAN 32 m THEN maximum possible acceleration MUST be EQUAL or GREATER THAN 1 m/s2.
Globally, it is always the case that if washer_fluid_level_alert and adjust_default_view holds, then zoom_level < 0 holds as well.;IF washer fluid level alert is on AND adjust default view THEN camera zoom level CAN be LESS THAN 0 x.
Globally, it is always the case that if gear <= 5 holds, then climate_control_setting = 29 and wiper_speed < 4 holds as well.;IF gear number is EQUAL or LESS THAN 5 gear THEN climate control setting EQUAL to 29 C AND wiper speed CAN be LESS THAN 4 rpm.
Globally, it is always the case that if engine_temperature < 27 and need_revision holds, then horizontal_vision = 10 eventually holds.;IF engine temperature is LESS THAN 27 C AND vehicle revision is needed THEN horizontal vision EQUAL to 10 m.
Globally, it is never the case that road_slope < 15 holds.;road slope MUST NOT be LESS THAN 15 degrees.
Globally, it is always the case that if collision_alert and display_area >= 53 holds, then monitor_background_luminance >= 2.0 holds as well.;IF collision alert is on AND display area is EQUAL or GREATER THAN 53 m THEN monitor background luminance MUST be EQUAL or GREATER THAN 2.0 cd/m2.
Globally, it is never the case that wind_speed >= 44 holds.;wind speed MUST NOT be EQUAL or GREATER THAN 44 km/h.
Globally, it is never the case that radio_volume = 4 holds.;radio volume MUST NOT be EQUAL to 4 dB.
Globally, it is always the case that if older_driver and vertical_vision = 19 holds, then acceleration_adjustment and horizontal_vision > 1 holds as well.;IF older driver AND vertical vision is EQUAL to 19 m THEN acceleration adjustment AND horizontal vision CAN be GREATER THAN 1 m.
Globally, it is always the case that tire_pressure < min_speed_limit holds.;tire pressure is LESS THAN minimum speed limit.
After accelerating and tire_pressure_alert, it is always the case that emergency_record and monitor_background_luminance = 1.1 holds.;IF the vehicle is accelerating AND tire pressure alert is on THEN record an emergency video AND monitor background luminance EQUAL to 1.1 cd/m2.
Globally, it is always the case that if horizontal_vision <= 14 and radio_volume > 4 holds, then climate_control_setting >= 18 holds as well.;IF horizontal vision is EQUAL or LESS THAN 14 m AND radio volume is GREATER THAN 4 dB THEN climate control setting MUST be EQUAL or GREATER THAN 18 C.
After road_curvature >= 159 and tire_rotation_alert, it is always the case that horn holds.;IF road curvature is EQUAL or GREATER THAN 159 degrees AND tire rotation alert is on THEN activate horn.
After zoom_in, it is always the case that if reversing holds, then vertical_vision <= 8 holds as well.;IF zoom in the camera AND the vehicle is reversing THEN vertical vision MUST be EQUAL or LESS THAN 8 m.
After horizontal_vision = 11, it is always the case that send_coolant_level_alert holds.;IF horizontal vision is EQUAL to 11 m THEN send coolant level alert.
Globally, it is always the case that if on_left_lane holds, then camera_defrost_system and send_airbag_conditions_alert eventually holds.;IF the vehicle is in the left lane THEN camera defrost system AND send airbag conditions alert.
After send_speeding_alert, it is always the case that if video_number > 2 holds, then send_battery_charge_alert holds as well.;IF send speeding alert AND number of videos displayed is GREATER THAN 2 THEN send battery charge alert.
After zoom_level >= 8, it is always the case that if airbag_conditions_alert holds, then signal_lamp_event holds as well.;IF camera zoom level is EQUAL or GREATER THAN 8 x AND airbag conditions alert is on THEN signal-lamp.
Globally, it is never the case that luminance > 1.1 holds.;luminance MUST NOT be GREATER THAN 1.1 lx.
Globally, it is always the case that oil_level > 51 holds.;oil level is GREATER THAN 51 %.
Globally, it is always the case that if blind_spot holds, then vertical_vision_distance = 40 and minimum_distance < 13 eventually holds.;IF object on blind spot THEN vertical vision distance behind driver EQUAL to 40 m AND minimum distance from vehicle in front CAN be LESS THAN 13 m.
Globally, it is always the case that if vertical_longitudinal_median_plane = 40 holds, then antifog_lights holds as well.;IF vertical longitudinal median plane is EQUAL to 40 m THEN activate antifog lights.
After horizontal_vision > 17, it is always the case that if older_driver holds, then full_beam holds as well.;IF horizontal vision is GREATER THAN 17 m AND older driver THEN activate full beam lights.
After low_fuel_alert, it is always the case that if approaching_vehicle_distance = 36 holds, then emergency_record eventually holds.;IF low fuel alert is on AND distance of approaching vehicle is EQUAL to 36 m THEN record an emergency video.
After temperature <= 39 and collision_alert, it is always the case that send_tire_pressure_alert and wiper holds.;IF temperature is EQUAL or LESS THAN 39 °C AND collision alert is on THEN send tire pressure alert AND activate wiper.
After send_battery_charge_alert, it is always the case that if tire_pressure < 39 holds, then stay_in_lane eventually holds.;IF send battery charge alert AND tire pressure is LESS THAN 39 psi THEN activate stay in lane algorithm.
Globally, it is always the case that if driver_side and distraction_alert holds, then send_oil_change_alert and auto_accelerate_sensitivity = 9 holds as well.;IF the driver side is occupied AND distraction alert is on THEN send oil change alert AND auto accelerate sensitivity EQUAL to 9 %.
Globally, it is always the case that if auto_accelerate and rain holds, then max_acceleration = 0 and cruise_control_speed = 84 eventually holds.;IF auto accelerate is activated AND is raining THEN maximum possible acceleration EQUAL to 0 m/s2 AND cruise control speed EQUAL to 84 km/h.
After zoom_level <= 2, it is always the case that if sunset_light_state holds, then send_low_fuel_alert holds as well.;IF camera zoom level is EQUAL or LESS THAN 2 x AND sunset light condition THEN send low fuel alert.
After light_sources_number = 2, it is always the case that steering_adjustment holds.;IF number of light sources is EQUAL to 2 THEN steering adjustment.
Globally, it is never the case that light_sources_distance <= fuel_level holds.;distance of light sources MUST NOT be EQUAL or LESS THAN fuel level.
Globally, it is always the case that length_driven > 12818 holds.;total length driven by the vehicle is GREATER THAN 12818 km.
After length_driven = 73304, it is always the case that signal_lamp_event holds.;IF total length driven by the vehicle is EQUAL to 73304 km THEN signal-lamp.
After battery_charge >= 31, it is always the case that night_light_state holds.;IF battery charge is EQUAL or GREATER THAN 31 % THEN night light condition.
After washer_fluid_level >= 55, it is always the case that horizontal_vision <= 9 holds.;IF washer fluid level is EQUAL or GREATER THAN 55 % THEN horizontal vision MUST be EQUAL or LESS THAN 9 m.
After default_view, it is always the case that if monitor_background_luminance < 0.5 holds, then ABS_activation holds as well.;IF default view AND monitor background luminance is LESS THAN 0.5 cd/m2 THEN ABS is activated.
Globally, it is always the case that wiper_speed <= 1 holds.;wiper speed is EQUAL or LESS THAN 1 rpm.
Globally, it is always the case that if camera_defrost_system holds, then send_distraction_alert and auto_dimming holds as well.;IF camera defrost system THEN send distraction alert AND activate auto dimming.
After radio_volume = 17, it is always the case that if light_sources_intensity > 1346 holds, then camera_defrost_system holds as well.;IF radio volume is EQUAL to 17 dB AND intensity of light sources is GREATER THAN 1346 cd THEN camera defrost system.
After NN_clean_image_result <= 0, it is always the case that if display_area <= 88 holds, then monitor_background_luminance = 0.7 eventually holds.;IF clean process algorithm result is EQUAL or LESS THAN 0 AND display area is EQUAL or LESS THAN 88 m THEN monitor background luminance EQUAL to 0.7 cd/m2.
After airbag_deploy, it is always the case that if cruise_control_speed >= 64 holds, then wiper holds as well.;IF activate airbag deployment AND cruise control speed is EQUAL or GREATER THAN 64 km/h THEN activate wiper.
Globally, it is never the case that light_sources_number = light_sources_distance holds.;number of light sources MUST NOT be EQUAL to distance of light sources.
After object_detection, it is always the case that send_coolant_level_alert holds.;IF object is detected THEN send coolant level alert.
Globally, it is always the case that if climate_control_setting >= 21 holds, then engine_efficiency >= 16 holds as well.;IF climate control setting is EQUAL or GREATER THAN 21 C THEN engine efficiency MUST be EQUAL or GREATER THAN 16 %.
Globally, it is always the case that tire_pressure >= vertical_longitudinal_median_plane holds.;tire pressure is EQUAL or GREATER THAN vertical longitudinal median plane.
Globally, it is always the case that if rain holds, then stay_in_lane and auto_accelerate_sensitivity <= 10 eventually holds.;IF is raining THEN activate stay in lane algorithm AND auto accelerate sensitivity MUST be EQUAL or LESS THAN 10 %.
Globally, it is never the case that cruise_control_speed >= 95 holds.;cruise control speed MUST NOT be EQUAL or GREATER THAN 95 km/h.
Globally, it is always the case that if camera_number >= 3 and sunset_light_state holds, then climate_control_setting <= 22 and warning_emergency holds as well.;IF camera number is EQUAL or GREATER THAN 3 AND sunset light condition THEN climate control setting MUST be EQUAL or LESS THAN 22 C AND send warning emergency vehicle.
Globally, it is always the case that zoom_level < 4 holds.;camera zoom level is LESS THAN 4 x.
After zoom_level >= 3, it is always the case that if overtaking holds, then cruise_control_speed <= 93 holds as well.;IF camera zoom level is EQUAL or GREATER THAN 3 x AND the vehicle is overtaking THEN cruise control speed MUST be EQUAL or LESS THAN 93 km/h.
Globally, it is always the case that if blind_spot and airbag_conditions_alert holds, then lock_steering eventually holds.;IF object on blind spot AND airbag conditions alert is on THEN lock steering.
Globally, it is always the case that if min_speed_limit < 108 holds, then full_beam and airbag_deploy eventually holds.;IF minimum speed limit is LESS THAN 108 km/h THEN activate full beam lights AND activate airbag deployment.
After max_acceleration = 2, it is always the case that if behind_passengers >= 1 holds, then airbag_deploy eventually holds.;IF maximum possible acceleration is EQUAL to 2 m/s2 AND the number of passengers seat behind is EQUAL or GREATER THAN 1 people THEN activate airbag deployment.
After send_sleeping_alert, it is always the case that if older_driver holds, then MIN_MF = 0.1 holds as well.;IF send sleeping alert AND older driver THEN minimum magnification factor EQUAL to 0.1.
After headlight_intensity >= 56, it is always the case that if behind_passengers < 1 holds, then zoom_out eventually holds.;IF headlight intensity is EQUAL or GREATER THAN 56 % AND the number of passengers seat behind is LESS THAN 1 people THEN zoom out the camera.
Globally, it is always the case that if collision_alert and battery_charge > 41 holds, then wiper_speed = 4 holds as well.;IF collision alert is on AND battery charge is GREATER THAN 41 % THEN wiper speed EQUAL to 4 rpm.
After send_collision_alert, it is always the case that if passenger_seatbelt holds, then send_speeding_alert holds as well.;IF send collision alert AND the passenger is wearing the seatbelt THEN send speeding alert.
After vertical_vision >= 8, it is always the case that if turning holds, then door_locking holds as well.;IF vertical vision is EQUAL or GREATER THAN 8 m AND vehicle is turning THEN lock the doors.
Globally, it is never the case that engine_efficiency < required_field_vision holds.;engine efficiency MUST NOT be LESS THAN required field of vision.
After acceleration_adjustment, it is always the case that if overtaking holds, then send_engine_overheat_alert holds as well.;IF acceleration adjustment AND the vehicle is overtaking THEN send engine overheat alert.
After passenger_seatbelt, it is always the case that if perceived_light_sources_number >= 3 holds, then send_low_fuel_alert holds as well.;IF the passenger is wearing the seatbelt AND number of perceived light sources is EQUAL or GREATER THAN 3 THEN send low fuel alert.
Globally, it is never the case that light_sources_intensity > 1178 holds.;intensity of light sources MUST NOT be GREATER THAN 1178 cd.
Globally, it is always the case that if max_speed_limit = 26 holds, then max_acceleration = 7 holds as well.;IF maximum speed limit is EQUAL to 26 km/h THEN maximum possible acceleration EQUAL to 7 m/s2.
Globally, it is always the case that if engine_overheat_alert holds, then stay_in_lane and send_battery_charge_alert holds as well.;IF engine overheat alert is on THEN activate stay in lane algorithm AND send battery charge alert.
Globally, it is never the case that vertical_vision <= 5 holds.;vertical vision MUST NOT be EQUAL or LESS THAN 5 m.
Globally, it is always the case that traffic_density = max_acceleration holds.;traffic density is EQUAL to maximum possible acceleration.
Globally, it is always the case that if tire_rotation <= -26 holds, then required_maintenance eventually holds.;IF tire rotation is EQUAL or LESS THAN -26 degrees THEN the vehicle requires maintenance.
Globally, it is never the case that approaching_vehicle_distance = 19 holds.;distance of approaching vehicle MUST NOT be EQUAL to 19 m.
After approaching_vehicle_in_blind_spot, it is always the case that if sleeping_alert holds, then auto_accelerate_sensitivity <= 5 holds as well.;IF approaching vehicle in blind spot AND sleeping alert is on THEN auto accelerate sensitivity MUST be EQUAL or LESS THAN 5 %.
Globally, it is never the case that wind_speed > vertical_vision holds.;wind speed MUST NOT be GREATER THAN vertical vision.
Globally, it is always the case that if wind_speed = 76 holds, then send_airbag_conditions_alert eventually holds.;IF wind speed is EQUAL to 76 km/h THEN send airbag conditions alert.
After tire_rotation <= 3, it is always the case that if default_view holds, then lock_acceleration holds as well.;IF tire rotation is EQUAL or LESS THAN 3 degrees AND default view THEN lock acceleration.
After max_speed_limit >= 42, it is always the case that if traffic_flow_speed >= 87 holds, then airbag_deploy holds as well.;IF maximum speed limit is EQUAL or GREATER THAN 42 km/h AND traffic flow speed is EQUAL or GREATER THAN 87 km/h THEN activate airbag deployment.
Globally, it is never the case that monitor_background_luminance = engine_rpm holds.;monitor background luminance MUST NOT be EQUAL to engine RPM.
Globally, it is always the case that if perceived_light_sources_number = 1 holds, then MIN_MF < 0.6 holds as well.;IF number of perceived light sources is EQUAL to 1 THEN minimum magnification factor CAN be LESS THAN 0.6.
Globally, it is always the case that if fuel_level > 44 and behind_passengers <= 2 holds, then send_engine_conditions_alert and airbag_deploy eventually holds.;IF fuel level is GREATER THAN 44 % AND the number of passengers seat behind is EQUAL or LESS THAN 2 people THEN send engine conditions alert AND activate airbag deployment.
After antifog_lights, it is always the case that if need_revision holds, then send_alert holds as well.;IF activate antifog lights AND vehicle revision is needed THEN send generic alert.
Globally, it is always the case that if road_curvature = 26 and gear = 1 holds, then send_distraction_alert and perceived_light_sources_number >= 3 holds as well.;IF road curvature is EQUAL to 26 degrees AND gear number is EQUAL to 1 gear THEN send distraction alert AND number of perceived light sources MUST be EQUAL or GREATER THAN 3.
Globally, it is always the case that display_area >= 49 holds.;display area is EQUAL or GREATER THAN 49 m.
Globally, it is always the case that temperature <= 39 holds.;temperature is EQUAL or LESS THAN 39 °C.
Globally, it is always the case that if camera_number = 5 and gear < 5 holds, then vertical_vision >= 7 eventually holds.;IF camera number is EQUAL to 5 AND gear number is LESS THAN 5 gear THEN vertical vision MUST be EQUAL or GREATER THAN 7 m.
After lock_steering, it is always the case that if engine_temperature > 21 holds, then full_beam holds as well.;IF lock steering AND engine temperature is GREATER THAN 21 C THEN activate full beam lights.
After vertical_vision_distance = 33, it is always the case that if traffic_flow_speed < 75 holds, then max_acceleration = 0 holds as well.;IF vertical vision distance behind driver is EQUAL to 33 m AND traffic flow speed is LESS THAN 75 km/h THEN maximum possible acceleration EQUAL to 0 m/s2.
Globally, it is always the case that if oil_change_alert and traffic_density <= 40 holds, then signal_lamp_event eventually holds.;IF oil change alert is on AND traffic density is EQUAL or LESS THAN 40 vehicles/km THEN signal-lamp.
Globally, it is always the case that if gear > 3 and luminance >= 3.9 holds, then lock_steering holds as well.;IF gear number is GREATER THAN 3 gear AND luminance is EQUAL or GREATER THAN 3.9 lx THEN lock steering.
Globally, it is always the case that if battery_charge < 87 holds, then auto_accelerate_sensitivity < 58 and HDR holds as well.;IF battery charge is LESS THAN 87 % THEN auto accelerate sensitivity CAN be LESS THAN 58 % AND enable HDR.
After send_coolant_level_alert, it is always the case that if fog_density < 44 holds, then ABS_activation holds as well.;IF send coolant level alert AND fog density is LESS THAN 44 % THEN ABS is activated.
Globally, it is always the case that if blind_spot and washer_fluid_level = 89 holds, then wiper_speed < 4 eventually holds.;IF object on blind spot AND washer fluid level is EQUAL to 89 % THEN wiper speed CAN be LESS THAN 4 rpm.
Globally, it is always the case that perceived_light_sources_number < coolant_level holds.;number of perceived light sources is LESS THAN coolant level.
After cruise_control_speed >= 130, it is always the case that send_seatbelt_alert and send_tire_pressure_alert holds.;IF cruise control speed is EQUAL or GREATER THAN 130 km/h THEN send seatbelt alert AND send tire pressure alert.
After airbag_conditions_alert, it is always the case that if road_curvature > 102 holds, then horn holds as well.;IF airbag conditions alert is on AND road curvature is GREATER THAN 102 degrees THEN activate horn.
Globally, it is always the case that if inter_light_sources_distance = 1.3 and max_speed_limit < 99 holds, then minimum_distance <= 6 and send_engine_overheat_alert holds as well.;IF distance between light sources is EQUAL to 1.3 m AND maximum speed limit is LESS THAN 99 km/h THEN minimum distance from vehicle in front MUST be EQUAL or LESS THAN 6 m AND send engine overheat alert.
Globally, it is always the case that if park_assist holds, then horn and headlight_intensity <= 67 eventually holds.;IF park assist is activated THEN activate horn AND headlight intensity MUST be EQUAL or LESS THAN 67 %.
Globally, it is never the case that wiper_speed < 4 holds.;wiper speed MUST NOT be LESS THAN 4 rpm.
After collision_alert and required_field_vision > 66, it is always the case that NN_clean_image_result < 0 and zoom_level < 0 holds.;IF collision alert is on AND required field of vision is GREATER THAN 66 m THEN clean process algorithm result CAN be LESS THAN 0 AND camera zoom level CAN be LESS THAN 0 x.
Globally, it is always the case that if cruise_control_speed < 14 holds, then climate_control_setting >= 29 and send_seatbelt_alert eventually holds.;IF cruise control speed is LESS THAN 14 km/h THEN climate control setting MUST be EQUAL or GREATER THAN 29 C AND send seatbelt alert.
Globally, it is always the case that if traffic_density < 82 holds, then ABS_activation holds as well.;IF traffic density is LESS THAN 82 vehicles/km THEN ABS is activated.
Globally, it is never the case that monitor_background_luminance = 0.9 holds.;monitor background luminance MUST NOT be EQUAL to 0.9 cd/m2.
Globally, it is always the case that cruise_control_speed < 29 holds.;cruise control speed is LESS THAN 29 km/h.
After washer_fluid_level >= 6, it is always the case that auto_break_sensitivity > 91 and need_revision holds.;IF washer fluid level is EQUAL or GREATER THAN 6 % THEN auto break sensitivity CAN be GREATER THAN 91 % AND vehicle revision is needed.
After need_revision, it is always the case that zoom_level >= 10 holds.;IF vehicle revision is needed THEN camera zoom level MUST be EQUAL or GREATER THAN 10 x.
After need_revision and rain, it is always the case that send_tire_rotation_alert and send_engine_conditions_alert holds.;IF vehicle revision is needed AND is raining THEN send tire rotation alert AND send engine conditions alert.
Globally, it is always the case that monitor_background_luminance = 1.1 holds.;monitor background luminance is EQUAL to 1.1 cd/m2.
Globally, it is always the case that if reversing and auto_accelerate holds, then emergency_record holds as well.;IF the vehicle is reversing AND auto accelerate is activated THEN record an emergency video.
After old_road, it is always the case that if low_fuel_alert holds, then wiper_speed > 1 eventually holds.;IF old road AND low fuel alert is on THEN wiper speed CAN be GREATER THAN 1 rpm.
Globally, it is always the case that auto_accelerate_sensitivity >= 65 holds.;auto accelerate sensitivity is EQUAL or GREATER THAN 65 %.
Globally, it is always the case that if behind_passengers_seatbelt holds, then eco_mode holds as well.;IF the passengers behind are wearing seatbelts THEN activate eco mode.
After vertical_vision_distance > 20, it is always the case that if fuel_level <= 40 holds, then headlight_intensity = 61 eventually holds.;IF vertical vision distance behind driver is GREATER THAN 20 m AND fuel level is EQUAL or LESS THAN 40 % THEN headlight intensity EQUAL to 61 %.
Globally, it is never the case that gps_signal > 6 holds.;GPS signal strength MUST NOT be GREATER THAN 6 dBm.
After display_area = 53, it is always the case that if traffic_density >= 95 holds, then horizontal_vision >= 6 eventually holds.;IF display area is EQUAL to 53 m AND traffic density is EQUAL or GREATER THAN 95 vehicles/km THEN horizontal vision MUST be EQUAL or GREATER THAN 6 m.
